PLAYER_NAME,TEAM_ABBREVIATION,POSITION,MISSING_TEAM_USG,PREV_AVG_MIN,PRED_PTS
Ethan Thompson,IND,SG,123.076244562748,28.26283490320607,8.979179932612631
Isaac Okoro,CHI,SG,135.14127642451837,29.976877748843343,8.910842515226426
Ariel Hukporti,NYK,C,0.0,23.92301546766324,8.90127389099199
Donovan Clingan,POR,C,49.30602147867776,26.815768165312733,8.873212387334538
Mouhamed Gueye,ATL,PF,16.850201076321216,24.08932352011124,8.783189852689437
Taylor Hendricks,MEM,PF,149.8069553229373,25.69566695572172,8.668165414565207
Tyus Jones,DAL,PG,102.85497521809197,25.947058667978784,8.650257455060968
Jeremy Sochan,SAS,PF,31.16501244647648,21.60340507745366,8.542025914612466
Dylan Cardwell,SAC,C,153.16448917109764,25.29628033891417,8.42326525929972
Daeqwon Plowden,SAC,SG,153.16448917109764,30.639724525970383,8.40185703361367
Moussa Cisse,DAL,C,102.85497521809197,23.36206378046488,8.372682504620167
Jordan Walsh,BOS,PF,0.0,28.039006882053613,8.317121403297946
Caris LeVert,DET,SG,62.59762779836883,21.120396913528836,8.291231541096062
Landry Shamet,NYK,SG,0.0,27.53928131742893,8.183688564810124
Taurean Prince,MIL,SF,140.23922571189343,26.15510091385373,8.136082106791738
Vince Williams Jr.,UTA,PG,124.25715472951893,22.652444532683475,8.109853117011768
Jose Alvarado,NYK,PG,0.0,24.462043094204915,8.083283754672818
Chris Youngblood,OKC,SG,17.10672433673957,25.954060963618485,8.053566656023898
Dalen Terry,PHI,SG,31.693502140636113,26.03985054080629,8.044689986600396
Yves Missi,NOP,C,13.709002421963397,25.46605428931128,8.006837427926452
Sidy Cissoko,POR,SF,49.30602147867776,26.108687013117528,7.998926725437912
Oso Ighodaro,PHX,PF,29.65398804493872,29.727804195406215,7.839423376933354
Cam Christie,LAC,SG,30.664131383611533,21.449758112094393,7.8028846013364905
John Konchar,UTA,SG,124.25715472951893,27.335827063578954,7.6919874412018014
Nic Claxton,BKN,C,92.08461996352997,23.46003198707414,7.658700557175787
Christian Koloko,ATL,C,16.850201076321216,23.24424952488357,7.638355471694039
Ausar Thompson,DET,SF,62.59762779836883,28.076853597206146,7.61598319789391
Carter Bryant,SAS,PF,31.16501244647648,22.367698638936456,7.606135807614577
Jamal Shead,TOR,PG,19.221655712760796,24.69491183023591,7.569848320315917
Isaiah Hartenstein,OKC,C,17.10672433673957,23.87781726863395,7.490565315814873
Jaylen Clark,MIN,SG,49.45850880538312,23.364657600609018,7.472980352523289
Baylor Scheierman,BOS,SG,0.0,27.24861940390361,7.429018701700343
Max Christie,DAL,SG,102.85497521809197,28.71093227489293,7.312543206645082
Ben Sheppard,IND,SG,123.076244562748,23.81921961180549,7.296143650435631
Jabari Walker,PHI,PF,31.693502140636113,22.68428774304033,7.229320840231445
Tyler Kolek,NYK,PG,0.0,23.8380548278163,7.2101779622238364
Rasheer Fleming,PHX,PF,29.65398804493872,23.541146719557876,7.142995565993443
Josh Green,CHA,SG,0.0,22.40749118653429,7.084516262744201
Pete Nance,MIL,PF,140.23922571189343,27.731276234789064,7.080133658121842
Luke Kennard,LAL,SG,37.18177436706302,24.70966601122654,7.06533726914567
Jordan Hawkins,NOP,SG,13.709002421963397,22.129533986181762,6.896097720127059
Dennis Schröder,CLE,PG,30.618053421982125,24.415655312191404,6.793233730885195
Jase Richardson,ORL,SG,19.168850015200327,23.0454118953503,6.715884362794331
Dru Smith,MIA,SG,25.72224337251657,21.949150919311844,6.696152100892379
